EMAIL,PASSWORD,ROLE
artist1@example.com,password123,artist
artist2@example.com,password123,artist
artist3@example.com,password123,artist
artist4@example.com,password123,artist
artist5@example.com,password123,artist
artist6@example.com,password123,artist
artist7@example.com,password123,artist
artist8@example.com,password123,artist
artist9@example.com,password123,artist
artist10@example.com,password123,artist
user1@example.com,password123,user
user2@example.com,password123,user
user3@example.com,password123,user
user4@example.com,password123,user
user5@example.com,password123,user
user6@example.com,password123,user
user7@example.com,password123,user
user8@example.com,password123,user
user9@example.com,password123,user
user10@example.com,password123,user
user11@example.com,password123,user
user12@example.com,password123,user
user13@example.com,password123,user
user14@example.com,password123,user
user15@example.com,password123,user
user16@example.com,password123,user
user17@example.com,password123,user
user18@example.com,password123,user
user19@example.com,password123,user
user20@example.com,password123,user
